unnamed: 0,date,ticker,iv_current,z_score,tau_flag,iv_1d_chg,iv_7d_chg,pre_tau_buildup,reflexive_overdrive,skew_premium,reflexive_panic,preemptive_skew,tau_blindspot,month,iv_z,skew_z,reflexivity_score,stress_color,color_score,tau_weight,reflexivity_continuous_score,reflexivity_score_v2,price_gap_score,volume_spike_score,reflexivity_score_v2_extended,subclass,is_subclass_peak,expected_subclass_stress
663,2025-03-07,KKR,0.5094,0.0,0.0,0.0447999999999999,0.1129999999999999,True,False,2.2,False,False,False,2025-03,0.742247946900756,1.2077580545999411,1.950006001500697,orange,2,0.0,1.950006001500697,1.950006001500697,0,0,1.950006001500697,Alt Manager,True,False
664,2025-03-10,KKR,0.5553,0.0,0.0,0.0459,0.1534,True,False,3.700000000000001,False,True,False,2025-03,1.147660058984436,1.8544349543944,3.002095013378836,red,3,0.0,3.002095013378836,3.002095013378836,0,0,3.002095013378836,Alt Manager,True,False
665,2025-03-11,KKR,0.5431,0.0,0.0,-0.0121999999999999,0.1699,True,False,1.2000000000000002,False,False,False,2025-03,1.0399034627443295,0.7766401214036359,1.816543584147965,orange,2,0.0,1.816543584147965,1.816543584147965,0,0,1.8165435841479651,Alt Manager,False,False
666,2025-03-12,KKR,0.5171,0.0,0.0,-0.026,0.1239,True,False,1.5999999999999996,False,False,False,2025-03,0.810258257642463,0.949087294682158,1.7593455523246209,orange,2,0.0,1.7593455523246209,1.7593455523246209,0,0,1.7593455523246209,Alt Manager,False,False
667,2025-03-13,KKR,0.5289,0.0,0.0,0.0118,0.0918,True,False,3.499999999999999,False,True,False,2025-03,0.9144818507271564,1.7682113677551383,2.682693218482295,red,3,0.0,2.682693218482295,2.682693218482295,0,0,2.682693218482295,Alt Manager,True,False
668,2025-03-14,KKR,0.4927,0.0,0.0,-0.0362,0.0566,True,False,-2.1,False,False,False,2025-03,0.5947450651622501,-0.6460490581441724,-0.0513039929819222,neutral,0,0.0,-0.0513039929819222,-0.0513039929819222,0,0,-0.0513039929819222,Alt Manager,False,False
669,2025-03-17,KKR,0.4184,0.0,0.0,-0.0743,-0.0462,False,False,-0.2999999999999998,False,False,False,2025-03,-0.0615102709557758,0.1299632216091776,0.0684529506534018,neutral,0,0.0,0.0684529506534018,0.0684529506534017,0,0,0.0684529506534017,Alt Manager,False,False
670,2025-03-18,KKR,0.4587,0.0,0.0,0.0403,-0.0506999999999999,False,False,-4.499999999999999,False,False,False,2025-03,0.2944397969521169,-1.6807320978153053,-1.3862923008631882,neutral,0,0.0,-1.3862923008631882,-1.3862923008631884,0,0,-1.3862923008631884,Alt Manager,False,False
671,2025-03-19,KKR,0.4416,0.0,0.0,-0.0171,-0.1137,False,False,-2.0,False,False,False,2025-03,0.1434039120581972,-0.6029372648245419,-0.4595333527663447,neutral,0,0.0,-0.4595333527663447,-0.4595333527663447,0,0,-0.4595333527663447,Alt Manager,False,False
672,2025-03-20,KKR,0.4278,0.0,0.0,-0.0137999999999999,-0.1153,False,False,-2.2,False,False,False,2025-03,0.0215153031964375,-0.6891608514638031,-0.6676455482673656,neutral,0,0.0,-0.6676455482673656,-0.6676455482673657,0,0,-0.6676455482673657,Alt Manager,False,False
673,2025-03-21,KKR,0.4119,0.0,0.0,-0.0159,-0.1052,False,False,-2.0,False,False,False,2025-03,-0.1189215722312424,-0.6029372648245419,-0.7218588370557844,neutral,0,0.0,-0.7218588370557844,-0.7218588370557844,0,0,-0.7218588370557844,Alt Manager,False,False
674,2025-03-24,KKR,0.3834,0.0,0.0,-0.0284999999999999,-0.1455,False,False,4.6000000000000005,False,False,False,2025-03,-0.3706480470544418,2.242441094271075,1.871793047216633,orange,2,0.0,1.871793047216633,1.871793047216633,0,0,1.871793047216633,Alt Manager,True,False
675,2025-03-25,KKR,0.3651,0.0,0.0,-0.0183,-0.1276,False,False,-0.5,False,False,False,2025-03,-0.532282941414602,0.0437396349699164,-0.4885433064446855,neutral,0,0.0,-0.4885433064446855,-0.4885433064446856,0,0,-0.4885433064446856,Alt Manager,False,False
